# from http://www.star.ucl.ac.uk/~msw/lines.html
# and  http://www.pa.uky.edu/~peter/atomic/
# air      vacuum     line    view
3726.03    3727.09    [OII]   1
3728.82    3729.88    [OII]   1
3750.15    3751.22    H12     1
3770.63    3771.70    H11     1
3797.90    3798.98    H10     1
3835.39    3836.48    H9      1
3868.71    3869.81    [NeIII] 0
3888.65    3889.75    HeI     0
3889.05    3890.15    H8      1
3933.663   3934.777   CaII_K  1
3967.41    3968.53    [NeIII] 0
3968.468   3969.591   CaII_H  1
3970.07    3971.19    He      1
4101.76    4102.92    Hd      1
4340.47    4341.69    Hc      1
4363.21    4364.44    [OIII]  0
4685.71    4687.02    HeII    0
4861.33    4862.69    Hb      1
4958.92    4960.30    [OIII]  1
5006.84    5008.24    [OIII]  1
5167.321   5168.761   Mgb     1
5172.684   5174.125   Mgb     1
5183.604   5185.048   Mgb     1
5577.3387  5578.8874  [OI]    0
5754.64    5756.24    [NeII]  0
5754.64    5756.24    [NII]   0
5875.67    5877.30    HeI     0
5889.951   5891.583   NaI     1
5895.924   5897.558   NaI     1
6300.30    6302.04    [OI]    0
6312.1     6313.8     [SIII]  0
6548.03    6549.84    [NII]   1
6562.80    6564.61    Ha      1
6583.41    6585.23    [NII]   1
6678.152   6679.996   HeI     0
6716.47    6718.32    [SII]   1
6730.85    6732.71    [SII]   1
7135.8     7137.8     [ArIII] 0
7751.1     7753.2     [ArIII] 0
8498.03    8500.36    CaII    0
8542.09    8544.44    CaII    0
8662.14    8664.52    CaII    0
9068.6 	   9071.1     [SIII]  0

